# r then Timoshenko 6x6 row-major (VABS order)
0.00000000e+00 6.56947306e+10 3.54517903e-05 6.43658166e-05 -4.82318483e-08 4.45599014e+09 4.43209747e+09 3.54517903e-05 7.93568968e+09 7.83855630e+07 -9.32807134e+07 -5.64141354e-05 4.20295199e-05 6.43658166e-05 7.83855630e+07 8.32639022e+09 -5.07454894e+06 8.65324164e-05 -2.18731443e-04 -4.82318483e-08 -9.32807134e+07 -5.07454894e+06 1.27181830e+11 3.28633108e-06 -3.40478998e-06 4.45599014e+09 -5.64141354e-05 8.65324164e-05 3.28633108e-06 3.03422342e+11 -1.41096170e+10 4.43209747e+09 4.20295199e-05 -2.18731443e-04 -3.40478998e-06 -1.41096170e+10 2.23307552e+11
2.00000000e-02 6.56981394e+10 -5.72675154e-05 -3.19812655e-05 1.62593597e-07 4.45601430e+09 4.29387351e+09 -5.72675154e-05 7.93565097e+09 7.83043729e+07 -9.27553262e+07 8.88527640e-05 -2.64430736e-04 -3.19812655e-05 7.83043729e+07 8.32695240e+09 1.32324874e+07 -1.90643605e-04 -8.80447098e-05 1.62593597e-07 -9.27553262e+07 1.32324874e+07 1.27187498e+11 1.32563961e-05 7.91804013e-06 4.45601430e+09 8.88527640e-05 -1.90643605e-04 1.32563961e-05 3.03426728e+11 -1.41190176e+10 4.29387351e+09 -2.64430736e-04 -8.80447098e-05 7.91804013e-06 -1.41190176e+10 2.23317600e+11
4.90000000e-02 3.32172327e+10 -6.26835770e-07 -2.56762119e-06 -6.13387275e-07 4.92045657e+09 2.88406592e+09 -6.26835770e-07 3.30782942e+09 1.74035287e+08 -4.70411099e+08 -3.90897088e-05 -5.76396210e-06 -2.56762119e-06 1.74035287e+08 3.25274551e+09 -6.36894954e+08 -3.24529025e-05 2.73134026e-05 -6.13387275e-07 -4.70411099e+08 -6.36894954e+08 4.79702748e+10 -1.98149125e-06 -2.51102548e-05 4.92045657e+09 -3.90897088e-05 -3.24529025e-05 -1.98149125e-06 1.50771487e+11 -1.18395131e+10 2.88406592e+09 -5.76396210e-06 2.73134026e-05 -2.51102548e-05 -1.18395131e+10 1.22512917e+11
6.60000000e-02 3.03500220e+10 2.40705939e-05 1.68600549e-05 -3.38677388e-06 4.45066983e+09 -2.70272148e+09 2.40705939e-05 2.22392044e+09 1.54150082e+08 -6.01281901e+08 1.21950756e-05 4.10858051e-05 1.68600549e-05 1.54150082e+08 2.08094287e+09 -4.94648016e+08 -1.43422083e-05 -2.51835812e-05 -3.38677388e-06 -6.01281901e+08 -4.94648016e+08 2.82098972e+10 -8.60955296e-07 2.26692202e-05 4.45066983e+09 1.21950756e-05 -1.43422083e-05 -8.60955296e-07 1.24437178e+11 -1.23987441e+10 -2.70272148e+09 4.10858051e-05 -2.51835812e-05 2.26692202e-05 -1.23987441e+10 1.22491488e+11
8.30000000e-02 2.97373844e+10 -1.14319790e-05 2.35087525e-05 -1.25415853e-05 4.02898215e+09 -7.41694696e+09 -1.14319790e-05 1.58053642e+09 1.33674495e+08 -4.34888921e+08 -6.36820213e-06 4.71989393e-05 2.35087525e-05 1.33674495e+08 1.45195071e+09 -2.13500184e+08 -4.17717691e-05 5.41349294e-06 -1.25415853e-05 -4.34888921e+08 -2.13500184e+08 1.78749217e+10 2.21786944e-05 1.52941743e-06 4.02898215e+09 -6.36820213e-06 -4.17717691e-05 2.21786944e-05 1.03786434e+11 -1.27894776e+10 -7.41694696e+09 4.71989393e-05 5.41349294e-06 1.52941743e-06 -1.27894776e+10 1.25501583e+11
1.02000000e-01 2.90573971e+10 -1.32131149e-05 1.69873055e-06 -5.75031762e-06 3.34452805e+09 -9.55240040e+09 -1.32131149e-05 1.06765910e+09 1.19714980e+08 -2.08730434e+08 1.69976972e-05 -3.69407055e-06 1.69873055e-06 1.19714980e+08 9.79455062e+08 -6.16529367e+07 1.36972193e-05 3.79254189e-07 -5.75031762e-06 -2.08730434e+08 -6.16529367e+07 1.07480774e+10 1.69602901e-05 4.15837069e-07 3.34452805e+09 1.69976972e-05 1.36972193e-05 1.69602901e-05 8.22592676e+10 -1.21095709e+10 -9.55240040e+09 -3.69407055e-06 3.79254189e-07 4.15837069e-07 -1.21095709e+10 1.20541700e+11
1.10000000e-01 2.85385420e+10 -8.83285739e-06 9.10424384e-07 -8.21057807e-06 2.96790446e+09 -8.66587849e+09 -8.83285739e-06 9.19268316e+08 1.12537127e+08 -1.45355449e+08 3.95909015e-05 -6.52515365e-06 9.10424384e-07 1.12537127e+08 8.39782559e+08 -4.84091141e+07 -2.88241050e-06 -2.07474331e-05 -8.21057807e-06 -1.45355449e+08 -4.84091141e+07 8.79785950e+09 -5.01883878e-06 1.67225619e-05 2.96790446e+09 3.95909015e-05 -2.88241050e-06 -5.01883878e-06 7.42993086e+10 -1.13358921e+10 -8.66587849e+09 -6.52515365e-06 -2.07474331e-05 1.67225619e-05 -1.13358921e+10 1.13203045e+11
1.36000000e-01 2.80407282e+10 1.64068954e-05 -1.16432520e-06 -6.78878574e-06 2.22707468e+09 -6.78393678e+09 1.64068954e-05 7.27401551e+08 8.89756564e+07 -9.55166500e+07 1.30650427e-06 -5.86001407e-06 -1.16432520e-06 8.89756564e+07 5.96102166e+08 -9.86963048e+07 -6.09399927e-06 -1.35610800e-05 -6.78878574e-06 -9.55166500e+07 -9.86963048e+07 5.19719915e+09 5.86332444e-06 3.77545834e-06 2.22707468e+09 1.30650427e-06 -6.09399927e-06 5.86332444e-06 5.54194687e+10 -9.10328623e+09 -6.78393678e+09 -5.86001407e-06 -1.35610800e-05 3.77545834e-06 -9.10328623e+09 1.00821006e+11
1.56000000e-01 2.80085281e+10 -2.70438620e-05 -6.30009739e-06 4.01921675e-06 2.29909266e+09 -4.73399688e+09 -2.70438620e-05 7.32609188e+08 7.57742439e+07 -1.19984389e+08 1.92016028e-06 3.48020383e-05 -6.30009739e-06 7.57742439e+07 5.03664478e+08 -1.67794497e+08 1.34425810e-05 -5.20201443e-06 4.01921675e-06 -1.19984389e+08 -1.67794497e+08 3.80468010e+09 7.36937550e-06 1.68410090e-06 2.29909266e+09 1.92016028e-06 1.34425810e-05 7.36937550e-06 4.60531212e+10 -7.93148161e+09 -4.73399688e+09 3.48020383e-05 -5.20201443e-06 1.68410090e-06 -7.93148161e+09 8.98434287e+10
1.97000000e-01 2.79518773e+10 -2.95385898e-05 3.37932283e-06 2.42235476e-06 1.66525477e+09 -2.15911121e+09 -2.95385898e-05 7.19969278e+08 5.60024835e+07 -1.05251015e+08 -8.28628171e-06 5.66655171e-05 3.37932283e-06 5.60024835e+07 4.04514686e+08 -1.59082933e+08 8.41903958e-06 -1.09962393e-05 2.42235476e-06 -1.05251015e+08 -1.59082933e+08 2.39026678e+09 5.92689067e-07 -3.32161560e-06 1.66525477e+09 -8.28628171e-06 8.41903958e-06 5.92689067e-07 3.58576885e+10 -5.79072969e+09 -2.15911121e+09 5.66655171e-05 -1.09962393e-05 -3.32161560e-06 -5.79072969e+09 7.00018455e+10
2.47000000e-01 2.75452413e+10 1.25855279e-06 1.70482044e-06 -2.33376820e-06 1.02595239e+09 -2.27986076e+09 1.25855279e-06 6.99969196e+08 3.97353065e+07 -7.68776586e+07 1.81962256e-06 -1.64197244e-05 1.70482044e-06 3.97353065e+07 3.60837660e+08 -1.40883025e+08 4.19414701e-06 2.96184696e-06 -2.33376820e-06 -7.68776586e+07 -1.40883025e+08 1.90855396e+09 -2.14767857e-06 -1.10465314e-06 1.02595239e+09 1.81962256e-06 4.19414701e-06 -2.14767857e-06 2.86576412e+10 -3.68048924e+09 -2.27986076e+09 -1.64197244e-05 2.96184696e-06 -1.10465314e-06 -3.68048924e+09 6.27196360e+10
3.99000000e-01 2.48813487e+10 2.39403388e-06 2.84575023e-06 -1.03170692e-06 3.29470152e+08 -1.07102595e+09 2.39403388e-06 6.01277280e+08 1.59969597e+07 -3.44953651e+07 7.72556502e-06 1.22748426e-05 2.84575023e-06 1.59969597e+07 2.48719566e+08 -7.87172548e+07 8.38951099e-07 1.76671309e-06 -1.03170692e-06 -3.44953651e+07 -7.87172548e+07 9.41008094e+08 -1.20560795e-06 3.07295735e-07 3.29470152e+08 7.72556502e-06 8.38951099e-07 -1.20560795e-06 1.45627467e+10 -1.03113967e+09 -1.07102595e+09 1.22748426e-05 1.76671309e-06 3.07295735e-07 -1.03113967e+09 3.38966942e+10
5.34000000e-01 2.06482921e+10 -1.08110354e-06 -3.23346908e-06 -1.19384091e-06 2.20121971e+08 -7.95680478e+07 -1.08110354e-06 5.13998221e+08 4.33500183e+06 -1.91948436e+07 -2.98012176e-06 1.96296850e-06 -3.23346908e-06 4.33500183e+06 1.57355017e+08 -4.54113291e+07 1.22287590e-06 -5.11007403e-07 -1.19384091e-06 -1.91948436e+07 -4.54113291e+07 3.79853710e+08 -6.33783014e-08 -1.29007200e-06 2.20121971e+08 -2.98012176e-06 1.22287590e-06 -6.33783014e-08 5.67376781e+09 -8.99738301e+07 -7.95680478e+07 1.96296850e-06 -5.11007403e-07 -1.29007200e-06 -8.99738301e+07 1.48313856e+10
7.39000000e-01 1.22847674e+10 4.14839103e-08 8.38357900e-07 -1.02241631e-06 1.81358137e+08 -7.46121636e+07 4.14839103e-08 4.26630552e+08 1.38522875e+06 -1.03488765e+07 1.19694226e-06 2.41018014e-07 8.38357900e-07 1.38522875e+06 8.25872590e+07 -1.40108250e+07 4.00913916e-07 1.01410235e-06 -1.02241631e-06 -1.03488765e+07 -1.40108250e+07 9.15006400e+07 -4.06864396e-08 -1.14430258e-06 1.81358137e+08 1.19694226e-06 4.00913916e-07 -4.06864396e-08 1.05613212e+09 7.36524688e+07 -7.46121636e+07 2.41018014e-07 1.01410235e-06 -1.14430258e-06 7.36524688e+07 3.47609292e+09
9.80000000e-01 9.41774098e+08 2.26773707e-07 -3.20570186e-08 -1.07028232e-08 1.56730788e+07 -6.96654922e+07 2.26773707e-07 7.04420992e+07 4.44732772e+05 -1.49405530e+06 1.37280041e-08 5.11400010e-08 -3.20570186e-08 4.44732772e+05 8.84473611e+06 2.02646907e+05 4.26864058e-09 1.50318788e-08 -1.07028232e-08 -1.49405530e+06 2.02646907e+05 2.34640513e+06 -1.68758458e-09 4.10697062e-09 1.56730788e+07 1.37280041e-08 4.26864058e-09 -1.68758458e-09 1.15752971e+07 8.72620325e+05 -6.96654922e+07 5.11400010e-08 1.50318788e-08 4.10697062e-09 8.72620325e+05 6.19251384e+07
