# t[ms] U1 U2 U3[m] S11 S22 S33 S12 S13 S23[Pa] -- OpenSG-RM at the stations of the plots; solid dump values in solid_step.dat
5.000000000000000278e-02 0.000000000000000000e+00 0.000000000000000000e+00 2.821923899999999926e-03 2.515169857753547281e+07 1.795670811888170615e+07 3.257693087215432897e+07 -7.723379330296352006e-11 4.364625640710003208e+05 4.279209972250697901e+05
1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.131512500000000053e-02 4.893942984984318912e+07 2.042452034346327558e+07 3.257693087215401232e+07 -5.803794094766181907e-10 1.634988012570984894e+06 1.606489170296504628e+06
1.499999999999999944e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.546095099999999903e-02 1.269985347658883780e+08 2.852946954316816106e+07 3.257693087215295434e+07 -2.237859574726189396e-09 3.239930904859032948e+06 3.195571165140553843e+06
2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.514441000000000287e-02 3.035288556727123260e+08 4.688195020541903377e+07 3.257693087215057760e+07 -5.979844795423546934e-09 4.963540955165576190e+06 4.911339377079558559e+06
2.500000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.028102199999999855e-02 6.187561390655255318e+08 7.970850888837075233e+07 3.257693087214633077e+07 -1.269624218926156059e-08 6.809235694286188111e+06 6.749806268092039041e+06
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.008211799999999964e-01 1.095987481190123558e+09 1.295058745144655704e+08 3.257693087213989720e+07 -2.278723499558084015e-08 8.829365238480055705e+06 8.760331834212748334e+06
3.499999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.366400000000000114e-01 1.734285778471773148e+09 1.962773010110304654e+08 3.257693087213127315e+07 -3.643354838629248121e-08 1.105729035909454525e+07 1.097456066895567439e+07
4.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.775831700000000124e-01 2.508293456973856449e+09 2.774794351168118715e+08 3.257693087212080136e+07 -5.303795192894930088e-08 1.354927887547934242e+07 1.344493711392123438e+07
4.500000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.235526800000000036e-01 3.375895364866189480e+09 3.687903954761359692e+08 3.257693087210904062e+07 -7.175359646001060899e-08 1.638959791602057219e+07 1.625183082031630911e+07
5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.744256999999999946e-01 4.290503711226011753e+09 4.653541467102701664e+08 3.257693087209662795e+07 -9.092396511034257790e-08 1.967122779622450471e+07 1.948742688334594294e+07
