# t[ms] U1 U2 U3[m] S11 S22 S33 S12 S13 S23[Pa] -- OpenSG-RM at the stations of the plots; solid dump values in solid_blast.dat
5.000000000000000278e-02 0.000000000000000000e+00 0.000000000000000000e+00 2.798518700000000078e-03 2.476864617294331640e+07 1.766580867017433792e+07 3.204382175781522691e+07 -7.665919388835239230e-11 4.328192533443171997e+05 4.243508842039473820e+05
1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.117769300000000070e-02 4.795639943285845220e+07 1.982428372817151248e+07 3.151943677187535167e+07 -5.733513267989023503e-10 1.613553441313432530e+06 1.585452437240940286e+06
1.499999999999999944e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.503022200000000128e-02 1.246043174137644619e+08 2.753982724075315893e+07 3.100363314728287980e+07 -2.209866803065226693e-09 3.173642595310945529e+06 3.130593332291316241e+06
2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.415253699999999865e-02 2.976944993783924580e+08 4.529582386414571106e+07 3.049627045331446081e+07 -5.882790771903306635e-09 4.825998973312197253e+06 4.775811781600318849e+06
2.500000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 6.837311000000000083e-02 6.055674127616037130e+08 7.712206992527109385e+07 2.999721055734230578e+07 -1.242105692141720404e-08 6.579632648862355389e+06 6.522712795511061326e+06
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 9.755820099999999717e-02 1.069196035653618693e+09 1.252712294240101129e+08 2.950631758722689748e+07 -2.236283014979895318e-08 8.482545482981164008e+06 8.416762033969838172e+06
3.499999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.315036800000000117e-01 1.685042789234708309e+09 1.894773851982373893e+08 2.902345789432504028e+07 -3.533456238810555098e-08 1.056132754525842145e+07 1.048287422782454081e+07
4.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.699799100000000118e-01 2.425528025760866642e+09 2.669551170733466148e+08 2.854850001710322872e+07 -5.123641452522345445e-08 1.286745302675824612e+07 1.276875881077054702e+07
4.500000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.128154700000000066e-01 3.246786637560235500e+09 3.531973484709938169e+08 2.808131464534628764e+07 -6.894671931119156850e-08 1.547983476483939029e+07 1.535018555689360946e+07
5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.598158099999999804e-01 4.101167333215642452e+09 4.432189841218954921e+08 2.762177458495172113e+07 -8.753069412414320660e-08 1.848583361648876965e+07 1.831221215861529857e+07
5.500000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.107103800000000082e-01 4.951313741661508560e+09 5.330496102720792294e+08 2.716975472330015898e+07 -1.056915643159216877e-07 2.195027132045617327e+07 2.172059130780057982e+07
5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.652438299999999916e-01 5.779771761637619972e+09 6.206104919566904306e+08 2.672513199519251287e+07 -1.235609975214980879e-07 2.588422814077604935e+07 2.559176661150338873e+07
6.500000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.231842199999999998e-01 6.592830351867919922e+09 7.064531645001873970e+08 2.628778534934466705e+07 -1.411542229142768076e-07 3.023433267753047869e+07 2.987916202635076642e+07
6.999999999999999556e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.842328000000000188e-01 7.418346528592090607e+09 7.932645091181024313e+08 2.585759571543056145e+07 -1.586719153381145776e-07 3.489579216484284401e+07 3.448431654777105153e+07
