GP_Index	Coord_X	Coord_Y	Eps_xx	Eps_yy	Eps_zz	Eps_yz	Eps_xz	Eps_xy	Sig_xx	Sig_yy	Sig_zz	Sig_yz	Sig_xz	Sig_xy
26	1.641574e+01	2.312500e+01	3.537756e-03	-2.722226e-03	-3.385962e-04	8.355247e-05	3.609880e-07	-1.209496e-06	4.981938e+01	-2.604776e-01	-3.676111e-01	2.922532e-01	-4.051278e-02	-2.055779e+01
27	1.641574e+01	2.329375e+01	3.537756e-03	-2.722226e-03	-3.385962e-04	8.355247e-05	3.609880e-07	-1.209495e-06	4.981938e+01	-2.604769e-01	-3.676111e-01	2.922532e-01	-4.051278e-02	-2.055779e+01
28	1.645740e+01	2.306875e+01	3.537756e-03	-2.495885e-03	-3.385943e-04	-8.409989e-05	2.657764e-07	-1.080953e-06	5.608500e+01	7.815869e+00	3.681884e-01	-2.944825e-01	4.298016e-02	-2.629616e+01
29	1.658239e+01	2.323750e+01	3.537756e-03	-2.495885e-03	-3.385943e-04	-8.409989e-05	2.657764e-07	-1.080952e-06	5.608500e+01	7.815870e+00	3.681884e-01	-2.944825e-01	4.298016e-02	-2.629616e+01
30	1.658239e+01	2.306875e+01	3.537756e-03	-2.495885e-03	-3.385943e-04	-8.409989e-05	2.657764e-07	-1.080953e-06	5.608500e+01	7.815869e+00	3.681884e-01	-2.944825e-01	4.298016e-02	-2.629616e+01
31	1.629074e+01	2.329375e+01	3.537756e-03	-2.722221e-03	-3.385993e-04	8.344373e-05	4.641217e-07	-1.281279e-06	4.982131e+01	-2.585132e-01	-3.675900e-01	2.918210e-01	-4.009744e-02	-2.055990e+01
32	1.616575e+01	2.312500e+01	3.537756e-03	-2.722221e-03	-3.385993e-04	8.344373e-05	4.641217e-07	-1.281280e-06	4.982130e+01	-2.585139e-01	-3.675900e-01	2.918210e-01	-4.009744e-02	-2.055990e+01
33	1.616575e+01	2.329375e+01	3.537756e-03	-2.722221e-03	-3.385993e-04	8.344373e-05	4.641217e-07	-1.281279e-06	4.982131e+01	-2.585132e-01	-3.675900e-01	2.918210e-01	-4.009744e-02	-2.055990e+01
34	1.620741e+01	2.306875e+01	3.537756e-03	-2.495888e-03	-3.385962e-04	-8.420619e-05	3.609880e-07	-1.142042e-06	5.608646e+01	7.817310e+00	3.681919e-01	-2.949022e-01	4.336655e-02	-2.629779e+01
35	1.633241e+01	2.323750e+01	3.537756e-03	-2.495888e-03	-3.385962e-04	-8.420619e-05	3.609880e-07	-1.142042e-06	5.608646e+01	7.817310e+00	3.681919e-01	-2.949022e-01	4.336655e-02	-2.629779e+01
36	1.633241e+01	2.306875e+01	3.537756e-03	-2.495888e-03	-3.385962e-04	-8.420619e-05	3.609880e-07	-1.142042e-06	5.608646e+01	7.817310e+00	3.681919e-01	-2.949022e-01	4.336655e-02	-2.629779e+01
37	1.604076e+01	2.329375e+01	3.537756e-03	-2.722212e-03	-3.386036e-04	8.333219e-05	5.771730e-07	-1.369932e-06	4.982381e+01	-2.559259e-01	-3.675532e-01	2.913741e-01	-3.964599e-02	-2.056263e+01
38	1.591576e+01	2.312500e+01	3.537756e-03	-2.722212e-03	-3.386036e-04	8.333219e-05	5.771730e-07	-1.369933e-06	4.982381e+01	-2.559265e-01	-3.675533e-01	2.913741e-01	-3.964599e-02	-2.056263e+01
39	1.591576e+01	2.329375e+01	3.537756e-03	-2.722212e-03	-3.386036e-04	8.333219e-05	5.771730e-07	-1.369932e-06	4.982381e+01	-2.559259e-01	-3.675532e-01	2.913741e-01	-3.964599e-02	-2.056263e+01
40	1.595743e+01	2.306875e+01	3.537756e-03	-2.495889e-03	-3.385993e-04	-8.430976e-05	4.641217e-07	-1.217305e-06	5.608832e+01	7.819157e+00	3.681960e-01	-2.953162e-01	4.377930e-02	-2.629986e+01
41	1.608242e+01	2.323750e+01	3.537756e-03	-2.495889e-03	-3.385993e-04	-8.430976e-05	4.641217e-07	-1.217304e-06	5.608832e+01	7.819158e+00	3.681960e-01	-2.953162e-01	4.377930e-02	-2.629986e+01
42	1.608242e+01	2.306875e+01	3.537756e-03	-2.495889e-03	-3.385993e-04	-8.430976e-05	4.641217e-07	-1.217305e-06	5.608832e+01	7.819157e+00	3.681960e-01	-2.953162e-01	4.377930e-02	-2.629986e+01
43	1.579077e+01	2.329375e+01	3.537756e-03	-2.722197e-03	-3.386084e-04	8.321213e-05	7.026957e-07	-1.478329e-06	4.982695e+01	-2.526740e-01	-3.674959e-01	2.908911e-01	-3.914663e-02	-2.056603e+01
44	1.566578e+01	2.312500e+01	3.537756e-03	-2.722197e-03	-3.386084e-04	8.321213e-05	7.026957e-07	-1.478329e-06	4.982695e+01	-2.526747e-01	-3.674960e-01	2.908911e-01	-3.914663e-02	-2.056603e+01
45	1.566578e+01	2.329375e+01	3.537756e-03	-2.722197e-03	-3.386084e-04	8.321213e-05	7.026957e-07	-1.478329e-06	4.982695e+01	-2.526740e-01	-3.674959e-01	2.908911e-01	-3.914663e-02	-2.056603e+01
46	1.570744e+01	2.306875e+01	3.537756e-03	-2.495889e-03	-3.386036e-04	-8.442103e-05	5.771730e-07	-1.308865e-06	5.609063e+01	7.821472e+00	3.682026e-01	-2.957622e-01	4.423062e-02	-2.630242e+01
