# eta F1 F2 F3 M1 M2 M3 (VABS order, section-local resultants)
0.00000000e+00 5.14781448e-07 3.49841489e-09 2.22362975e+06 1.27953700e+06 -1.08268168e+08 5.54819621e-08
2.00000000e-02 2.03443811e+03 6.19584084e+01 2.13563700e+06 1.28888425e+06 -1.02038496e+08 1.73249841e+03
4.90000000e-02 5.75106592e+03 1.94838455e+02 2.01303362e+06 1.29712512e+06 -9.38349760e+07 5.37636768e+03
6.60000000e-02 8.45506445e+03 3.57890747e+02 1.94123425e+06 1.30715800e+06 -8.91644480e+07 1.07452383e+04
8.30000000e-02 1.15517686e+04 6.44691040e+02 1.86908025e+06 1.31986362e+06 -8.45420720e+07 2.10032461e+04
1.02000000e-01 1.54232002e+04 1.16218579e+03 1.78837350e+06 1.33325262e+06 -7.94627040e+07 4.01411719e+04
1.10000000e-01 1.71601152e+04 1.45114551e+03 1.75452975e+06 1.33749500e+06 -7.73658640e+07 5.09068359e+04
1.36000000e-01 2.31004785e+04 2.69626611e+03 1.64595900e+06 1.34082938e+06 -7.07978000e+07 9.71566797e+04
1.56000000e-01 2.78136699e+04 3.95879492e+03 1.56470838e+06 1.32925088e+06 -6.60653200e+07 1.43520484e+05
1.97000000e-01 3.71763008e+04 7.18515283e+03 1.40640088e+06 1.26378238e+06 -5.73539360e+07 2.59608797e+05
2.47000000e-01 4.67724961e+04 1.15973760e+04 1.22870188e+06 1.12770175e+06 -4.83378880e+07 4.13320188e+05
3.99000000e-01 5.66439961e+04 1.93204941e+04 7.59751500e+05 6.98150688e+05 -2.61920100e+07 6.14012000e+05
5.34000000e-01 5.22623711e+04 1.83595684e+04 4.73125562e+05 3.49066906e+05 -1.32230240e+07 4.74558875e+05
7.39000000e-01 4.60475586e+04 1.87358047e+04 2.63388969e+05 1.49061469e+05 -1.79164650e+06 1.01386266e+05
9.80000000e-01 5.97143994e+03 2.43673901e+03 2.22186641e+04 2.34190488e+04 1.82299969e+05 -2.62870391e+04
1.00000000e+00 4.82637909e+02 1.96856735e+02 1.65050684e+03 1.58452408e+02 -3.07811975e+00 -4.59672050e+01
