# per-element PLATE REACTION FORCES from the RM shell beam model (Timo), eta=0.20
# elem  y2(m) y3(m)  e11 e22 2e12 k11 k22 2k12  N11 N22 N12(N/m) M11 M22 M12(N)
   103 -2.357939e+00  4.100848e-01 -9.334651e-04  4.469529e-04 -7.552619e-04  8.030844e-04 -3.427595e-04 -1.146259e-03 -1.695332e+05  6.200439e+00 -4.077957e+04  2.098410e+02 -4.095040e+00 -7.083119e+01
   104 -2.389014e+00  3.468939e-01 -8.277932e-04  3.963211e-04 -7.494744e-04  9.685122e-04 -4.247980e-04 -1.006923e-03 -1.503479e+05  4.332927e+00 -4.046865e+04  2.470954e+02 -2.901704e+00 -6.118870e+01
   105 -2.420577e+00  2.822792e-01 -7.197120e-04  2.287640e-04 -3.453209e-04  7.985667e-04 -3.538681e-04 -2.420131e-03 -8.052498e+05  6.248916e+00 -4.171947e+04 -1.341547e+02 -1.684060e+00 -3.235902e+01
   106 -2.440641e+00  2.123537e-01 -6.008532e-04  1.909854e-04 -3.524628e-04  4.112437e-04 -1.685256e-04 -1.724141e-03 -6.723284e+05  9.983549e+00 -4.256673e+04 -1.277987e+02 -5.383700e-01 -2.527541e+01
   107 -2.451851e+00  1.397375e-01 -4.761270e-04  1.513400e-04 -3.669102e-04  3.847961e-04 -1.263763e-04 -1.461639e-03 -5.327495e+05  1.021092e+01 -4.430457e+04 -9.717293e+01  5.339191e-01 -2.284910e+01
   108 -2.459916e+00  6.717283e-02 -3.510680e-04  1.115894e-04 -3.679864e-04  2.653110e-04 -4.915798e-05 -1.594938e-03 -3.928216e+05  1.119792e+01 -4.443722e+04 -7.235510e+01  1.567156e+00 -2.425681e+01
   109 -2.460705e+00 -5.441400e-03 -2.249449e-04  7.150122e-05 -3.783848e-04  4.100355e-05  6.617484e-05 -1.549288e-03 -2.517294e+05  1.287890e+01 -4.569101e+04 -5.392198e+01  2.512222e+00 -2.399950e+01
   110 -2.455512e+00 -7.830524e-02 -9.758398e-05  3.101962e-05 -3.757425e-04 -1.993350e-05  1.155535e-04 -1.401461e-03 -1.092106e+05  1.329770e+01 -4.536909e+04 -2.487863e+01  3.387487e+00 -2.240813e+01
   111 -2.446090e+00 -1.508970e-01  2.987242e-05 -9.492020e-06 -3.814848e-04 -1.608003e-04  1.943866e-04 -1.850377e-03  3.339479e+04  1.420416e+01 -4.607136e+04 -8.820366e-01  4.207626e+00 -2.719312e+01
   112 -2.426844e+00 -2.210740e-01  1.544512e-04 -4.908889e-05 -3.735619e-04 -4.971598e-04  3.447991e-04 -2.163019e-03  1.727300e+05  1.601013e+01 -4.512186e+04  9.969703e+00  4.876751e+00 -3.027668e+01
   113 -2.396385e+00 -2.855995e-01  2.707127e-04 -1.294093e-04 -8.469880e-04 -7.450747e-04  3.755778e-04 -9.109718e-04  4.918736e+04  1.698672e+01 -4.573672e+04 -1.800099e+02  5.336208e+00 -5.333035e+01
   114 -2.365782e+00 -3.480776e-01  3.834343e-04 -1.834142e-04 -8.332743e-04 -5.388952e-04  2.683285e-04 -1.084876e-03  6.965243e+04  1.619701e+01 -4.499392e+04 -1.336507e+02  5.767529e+00 -6.561633e+01
   115 -2.336543e+00 -4.107947e-01  4.963881e-04 -2.374820e-04 -8.391605e-04 -6.852611e-04  3.335856e-04 -1.345925e-03  9.016856e+04  1.678150e+01 -4.530872e+04 -1.707026e+02  6.218579e+00 -8.374127e+01
   116 -2.303064e+00 -4.713892e-01  6.062220e-04 -2.900661e-04 -8.283986e-04 -7.604687e-04  3.638067e-04 -1.471386e-03  1.101163e+05  1.703618e+01 -4.472594e+04 -1.908835e+02  6.590534e+00 -9.261528e+01
   117 -2.265514e+00 -5.294518e-01  7.122017e-04 -3.407970e-04 -8.311536e-04 -9.001175e-04  4.253422e-04 -1.563500e-03  1.293656e+05  1.741785e+01 -4.487364e+04 -2.262620e+02  6.880173e+00 -9.900267e+01
   118 -2.223871e+00 -5.848547e-01  8.141078e-04 -3.895862e-04 -8.213369e-04 -9.732690e-04  4.541664e-04 -1.589570e-03  1.478736e+05  1.756535e+01 -4.434310e+04 -2.458526e+02  7.085605e+00 -1.009377e+02
   119 -2.178685e+00 -6.376202e-01  9.119054e-04 -4.364044e-04 -8.211603e-04 -1.082306e-03  5.003926e-04 -1.607287e-03  1.656362e+05  1.770835e+01 -4.433335e+04 -2.738757e+02  7.213803e+00 -1.021747e+02
   120 -2.130274e+00 -6.876956e-01  1.005460e-03 -4.811973e-04 -8.118525e-04 -1.140410e-03  5.215954e-04 -1.595489e-03  1.826271e+05  1.774201e+01 -4.383076e+04 -2.897844e+02  7.267988e+00 -1.014641e+02
   121 -2.078991e+00 -7.350866e-01  1.094734e-03 -5.239378e-04 -8.089983e-04 -1.228933e-03  5.575881e-04 -1.581567e-03  1.988414e+05  1.772679e+01 -4.367676e+04 -3.128248e+02  7.252539e+00 -1.005280e+02
   122 -2.025335e+00 -7.799400e-01  1.179916e-03 -5.647243e-04 -8.003501e-04 -1.265892e-03  5.683136e-04 -1.561095e-03  2.143112e+05  1.769332e+01 -4.320990e+04 -3.235990e+02  7.175433e+00 -9.920476e+01
   123 -1.969346e+00 -8.218492e-01  1.260294e-03 -6.032058e-04 -7.942801e-04 -1.354259e-03  6.041548e-04 -1.541233e-03  2.289097e+05  1.753567e+01 -4.288229e+04 -3.464569e+02  7.031934e+00 -9.789325e+01
   124 -1.911240e+00 -8.611857e-01  1.336483e-03 -6.396885e-04 -7.874066e-04 -1.373954e-03  6.063870e-04 -1.529471e-03  2.427461e+05  1.748333e+01 -4.251117e+04 -3.529973e+02  6.829445e+00 -9.715587e+01
   125 -1.851408e+00 -8.979390e-01  1.408414e-03 -6.741282e-04 -7.775808e-04 -1.446025e-03  6.342391e-04 -1.520609e-03  2.558104e+05  1.722601e+01 -4.198057e+04 -3.718576e+02  6.572598e+00 -9.665615e+01
   126 -1.789889e+00 -9.322195e-01  1.476273e-03 -7.066227e-04 -7.725892e-04 -1.460054e-03  6.337116e-04 -1.528340e-03  2.681338e+05  1.716208e+01 -4.171087e+04 -3.769148e+02  6.263322e+00 -9.725494e+01
   127 -1.727181e+00 -9.642606e-01  1.540399e-03 -7.373274e-04 -7.594478e-04 -1.512467e-03  6.519867e-04 -1.539845e-03  2.797802e+05  1.687379e+01 -4.100093e+04 -3.909880e+02  5.910681e+00 -9.821453e+01
   128 -1.663005e+00 -9.937920e-01  1.600360e-03 -7.660397e-04 -7.556120e-04 -1.533216e-03  6.548033e-04 -1.565523e-03  2.906694e+05  1.673440e+01 -4.079344e+04 -3.974965e+02  5.507790e+00 -1.000504e+02
   129 -1.598053e+00 -1.021694e+00  1.657592e-03 -7.934456e-04 -7.408653e-04 -1.554937e-03  6.581264e-04 -1.592880e-03  3.010631e+05  1.656989e+01 -3.999661e+04 -4.041860e+02  5.074428e+00 -1.021343e+02
   130 -1.532121e+00 -1.047076e+00  1.710575e-03 -8.188169e-04 -7.357833e-04 -1.591996e-03  6.690175e-04 -1.613287e-03  3.106856e+05  1.623584e+01 -3.972188e+04 -4.144269e+02  4.596650e+00 -1.036176e+02
   131 -1.465287e+00 -1.070745e+00  1.760703e-03 -8.428219e-04 -7.222683e-04 -1.595514e-03  6.635327e-04 -1.613211e-03  3.197888e+05  1.619999e+01 -3.899191e+04 -4.166812e+02  4.085804e+00 -1.037746e+02
   132 -1.398005e+00 -1.092549e+00  1.807647e-03 -8.653020e-04 -7.141354e-04 -1.628108e-03  6.723401e-04 -1.607032e-03  3.283143e+05  1.582471e+01 -3.855271e+04 -4.257551e+02  3.545443e+00 -1.034415e+02
   133 -1.329792e+00 -1.112048e+00  1.850711e-03 -8.859248e-04 -7.020905e-04 -1.640582e-03  6.713678e-04 -1.582037e-03  3.361350e+05  1.565635e+01 -3.790243e+04 -4.299977e+02  2.964054e+00 -1.018438e+02
   134 -1.261169e+00 -1.130444e+00  1.891912e-03 -9.056552e-04 -6.928106e-04 -1.647927e-03  6.679192e-04 -1.593228e-03  3.436170e+05  1.554925e+01 -3.740107e+04 -4.329928e+02  2.363423e+00 -1.027352e+02
   135 -1.192247e+00 -1.146730e+00  1.929485e-03 -9.236494e-04 -6.791750e-04 -1.672857e-03  6.731704e-04 -1.636471e-03  3.504406e+05  1.513032e+01 -3.666406e+04 -4.400787e+02  1.731970e+00 -1.059130e+02
   136 -1.122369e+00 -1.160403e+00  1.962645e-03 -9.395304e-04 -6.707783e-04 -1.687071e-03  6.732574e-04 -1.710779e-03  3.564626e+05  1.484033e+01 -3.620965e+04 -4.445481e+02  1.055202e+00 -1.111932e+02
   137 -1.059160e+00 -1.171212e+00  1.989929e-03 -6.741167e-04 -5.593646e-05 -1.695386e-03  6.268802e-04 -1.047916e-03  2.181488e+07  1.464642e+01 -2.068545e+04 -4.218567e+03  4.229208e-01 -2.532574e+02
   138 -9.958074e-01 -1.180820e+00  2.015145e-03 -6.826613e-04 -3.906605e-04 -1.700988e-03  6.305111e-04 -1.391856e-03  2.209135e+07  1.302362e+01 -1.440850e+05 -4.182414e+03  1.315817e+00 -3.567868e+02
   139 -9.247263e-01 -1.190848e+00  2.042131e-03 -6.918036e-04 -2.887820e-04 -1.704029e-03  6.348056e-04 -1.439751e-03  2.238724e+07  1.322296e+01 -1.065362e+05 -4.126817e+03  3.084672e+00 -3.616254e+02
   140 -8.536780e-01 -1.200274e+00  2.068064e-03 -7.005895e-04 -1.783522e-04 -1.707118e-03  6.391041e-04 -1.504785e-03  2.267159e+07  1.343240e+01 -6.583663e+04 -4.074300e+03  4.842876e+00 -3.699955e+02
   141 -7.827860e-01 -1.207448e+00  2.090062e-03 -7.080406e-04 -7.391193e-05 -1.723619e-03  6.483919e-04 -1.511008e-03  2.291275e+07  1.472066e+01 -2.734097e+04 -4.107693e+03  6.560533e+00 -3.647412e+02
   142 -7.111793e-01 -1.212724e+00  2.108856e-03 -7.144079e-04  3.746983e-05 -1.723937e-03  6.515857e-04 -1.436787e-03  2.311883e+07  1.474951e+01  1.371848e+04 -4.058680e+03  8.263119e+00 -3.398746e+02
   143 -6.395534e-01 -1.217586e+00  2.126934e-03 -7.205323e-04  1.456086e-04 -1.726553e-03  6.556352e-04 -1.361203e-03  2.331704e+07  1.499495e+01  5.358268e+04 -4.024491e+03  9.959339e+00 -3.148924e+02
   144 -5.682430e-01 -1.220457e+00  2.141508e-03 -7.254690e-04  2.584091e-04 -1.735658e-03  6.620703e-04 -1.353573e-03  2.347683e+07  1.602961e+01  9.516079e+04 -4.036149e+03  1.161571e+01 -3.057986e+02
   145 -4.963713e-01 -1.221522e+00  2.153020e-03 -7.293690e-04  3.675321e-04 -1.736657e-03  6.654437e-04 -1.432540e-03  2.360304e+07  1.617195e+01  1.353778e+05 -4.010427e+03  1.325508e+01 -3.175723e+02
   146 -4.245078e-01 -1.222312e+00  2.164049e-03 -7.331060e-04  4.826209e-04 -1.736887e-03  6.685213e-04 -1.393595e-03  2.372398e+07  1.620590e+01  1.778013e+05 -3.981660e+03  1.488971e+01 -3.008706e+02
   147 -3.531910e-01 -1.221237e+00  2.171765e-03 -7.357190e-04  5.925472e-04 -1.742363e-03  6.735103e-04 -1.378710e-03  2.380857e+07  1.733597e+01  2.183205e+05 -3.991251e+03  1.648137e+01 -2.902338e+02
   148 -2.814566e-01 -1.218088e+00  2.175932e-03 -7.371308e-04  7.073756e-04 -1.742761e-03  6.765643e-04 -1.446869e-03  2.385426e+07  1.748568e+01  2.606412e+05 -3.981781e+03  1.804836e+01 -2.990645e+02
   149 -2.125274e-01 -1.214787e+00  2.179458e-03 -7.383302e-04  2.335184e-04 -1.742823e-03  6.884329e-04 -1.402545e-03  2.389292e+07  1.492809e+01  8.598304e+04 -3.970327e+03  2.439778e+01 -3.190710e+02
   150 -1.471868e-01 -1.211574e+00  2.182653e-03 -7.394126e-04  3.406174e-04 -1.742888e-03  6.882820e-04 -1.121682e-03  2.392795e+07  1.492638e+01  1.254772e+05 -3.962195e+03  2.431376e+01 -2.452516e+02
   151 -7.844374e-02 -1.207006e+00  2.183950e-03 -1.045451e-03  2.657357e-03 -1.743525e-03  8.263056e-04 -1.093824e-03  3.966548e+05  1.487842e+01  1.435427e+05 -4.517584e+02  2.420759e+01 -1.081361e+02
   152 -5.872715e-03 -1.200248e+00  2.181955e-03 -1.044497e-03  2.692391e-03 -1.742890e-03  8.252827e-04 -1.033580e-03  3.962924e+05  1.483341e+01  1.454342e+05 -4.516304e+02  2.406652e+01 -1.043575e+02
   153  6.638296e-02 -1.192482e+00  2.178166e-03 -1.042683e-03  2.682854e-03 -1.742617e-03  8.244892e-04 -9.880942e-04  3.956044e+05  1.482216e+01  1.449186e+05 -4.515534e+02  2.391055e+01 -1.010726e+02
   154  1.379865e-01 -1.182879e+00  2.171095e-03 -1.039299e-03  2.719391e-03 -1.737996e-03  8.216663e-04 -9.957410e-04  3.943201e+05  1.470247e+01  1.468922e+05 -4.503843e+02  2.372742e+01 -1.020441e+02
   155  2.098302e-01 -1.171452e+00  2.160885e-03 -1.034410e-03  2.707660e-03 -1.737768e-03  8.210751e-04 -1.143468e-03  3.924660e+05  1.469777e+01  1.462603e+05 -4.501946e+02  2.351685e+01 -1.122001e+02
   156  2.818173e-01 -1.159910e+00  2.150496e-03 -1.029436e-03  2.745058e-03 -1.737645e-03  8.205385e-04 -1.180676e-03  3.905793e+05  1.469525e+01  1.482807e+05 -4.500264e+02  2.330448e+01 -1.152424e+02
   157  3.531305e-01 -1.147299e+00  2.138158e-03 -1.023529e-03  2.733989e-03 -1.732306e-03  8.175119e-04 -1.191207e-03  3.883385e+05  1.459663e+01  1.476829e+05 -4.485864e+02  2.307648e+01 -1.158436e+02
   158  4.241990e-01 -1.132818e+00  2.122535e-03 -1.016050e-03  2.770074e-03 -1.727896e-03  8.150315e-04 -1.204245e-03  3.855012e+05  1.452438e+01  1.496321e+05 -4.473027e+02  2.282061e+01 -1.171855e+02
   159  4.955503e-01 -1.117488e+00  2.105476e-03 -1.007881e-03  2.758843e-03 -1.727701e-03  8.146489e-04 -1.259692e-03  3.824032e+05  1.452130e+01  1.490262e+05 -4.469890e+02  2.255188e+01 -1.209154e+02
   160  5.666072e-01 -1.102009e+00  2.088116e-03 -9.995692e-04  2.795401e-03 -1.726526e-03  8.137987e-04 -1.257191e-03  3.792506e+05  1.450298e+01  1.510007e+05 -4.464377e+02  2.228107e+01 -1.211799e+02
   161  6.368814e-01 -1.084922e+00  2.067858e-03 -9.898715e-04  2.784702e-03 -1.714460e-03  8.077093e-04 -1.299954e-03  3.755713e+05  1.432760e+01  1.504234e+05 -4.432529e+02  2.198662e+01 -1.240322e+02
   162  7.071739e-01 -1.066115e+00  2.044611e-03 -9.787403e-04  2.818578e-03 -1.713581e-03  8.071728e-04 -1.309332e-03  3.713496e+05  1.431550e+01  1.522532e+05 -4.426581e+02  2.166641e+01 -1.250924e+02
   163  7.777024e-01 -1.047112e+00  2.021056e-03 -9.674616e-04  2.809141e-03 -1.713335e-03  8.069516e-04 -1.286112e-03  3.670720e+05  1.431212e+01  1.517432e+05 -4.422071e+02  2.134314e+01 -1.233607e+02
   164  8.477138e-01 -1.027613e+00  1.996569e-03 -9.557378e-04  2.843292e-03 -1.707886e-03  8.042169e-04 -1.261476e-03  3.626250e+05  1.423859e+01  1.535875e+05 -4.405069e+02  2.101273e+01 -1.220534e+02
   165  9.172222e-01 -1.006695e+00  1.969546e-03 -9.428004e-04  2.833152e-03 -1.698530e-03  7.996467e-04 -1.313721e-03  3.577174e+05  1.411693e+01  1.530404e+05 -4.378334e+02  2.066133e+01 -1.255733e+02
   166  9.868308e-01 -9.847664e-01  1.940782e-03 -9.290270e-04  2.865871e-03 -1.698283e-03  7.995770e-04 -1.319347e-03  3.524937e+05  1.411378e+01  1.548077e+05 -4.372815e+02  2.029476e+01 -1.263581e+02
   167  1.056452e+00 -9.627842e-01  1.911925e-03 -9.152096e-04  2.856373e-03 -1.698016e-03  7.995004e-04 -1.279155e-03  3.472534e+05  1.411038e+01  1.542942e+05 -4.367233e+02  1.992738e+01 -1.234427e+02
   168  1.125515e+00 -9.401106e-01  1.881792e-03 -9.007826e-04  2.889443e-03 -1.688842e-03  7.951084e-04 -1.257841e-03  3.417808e+05  1.399547e+01  1.560802e+05 -4.340326e+02  1.954995e+01 -1.223540e+02
   169  1.194278e+00 -9.162312e-01  1.849522e-03 -8.853319e-04  2.878509e-03 -1.683594e-03  7.926983e-04 -1.316970e-03  3.359205e+05  1.393118e+01  1.554903e+05 -4.322298e+02  1.915463e+01 -1.263441e+02
   170  1.263195e+00 -8.918206e-01  1.816350e-03 -8.694479e-04  2.911071e-03 -1.683347e-03  7.927568e-04 -1.318562e-03  3.298964e+05  1.392818e+01  1.572491e+05 -4.315929e+02  1.875128e+01 -1.268459e+02
   171  1.331989e+00 -8.674148e-01  1.783169e-03 -8.535598e-04  2.900212e-03 -1.683136e-03  7.928344e-04 -1.269596e-03  3.238707e+05  1.392562e+01  1.566620e+05 -4.309644e+02  1.834806e+01 -1.233025e+02
   172  1.400226e+00 -8.422558e-01  1.748604e-03 -8.370114e-04  2.933162e-03 -1.671640e-03  7.874373e-04 -1.239835e-03  3.175934e+05  1.378787e+01  1.584413e+05 -4.276389e+02  1.793388e+01 -1.216236e+02
   173  1.468286e+00 -8.160624e-01  1.712217e-03 -8.195884e-04  2.920516e-03 -1.669599e-03  7.867153e-04 -1.276085e-03  3.109854e+05  1.376377e+01  1.577587e+05 -4.265151e+02  1.750430e+01 -1.239985e+02
   174  1.536516e+00 -7.896280e-01  1.675435e-03 -8.019756e-04  2.953450e-03 -1.669406e-03  7.869061e-04 -1.229911e-03  3.043056e+05  1.376149e+01  1.595370e+05 -4.258213e+02  1.707102e+01 -1.211754e+02
   175  1.604578e+00 -7.631532e-01  1.638559e-03 -7.843185e-04  2.940622e-03 -1.668231e-03  7.866212e-04 -1.103782e-03  2.976089e+05  1.374767e+01  1.588426e+05 -4.248932e+02  1.663723e+01 -1.122300e+02
   176  1.672239e+00 -7.360797e-01  1.600588e-03 -7.661387e-04  2.973522e-03 -1.659391e-03  7.826220e-04 -9.064174e-04  2.907132e+05  1.364464e+01  1.606172e+05 -4.221302e+02  1.619470e+01 -9.886828e+01
   177  1.739808e+00 -7.083195e-01  1.561412e-03 -7.473799e-04  2.959486e-03 -1.658630e-03  7.826078e-04 -6.111788e-04  2.835988e+05  1.363585e+01  1.598556e+05 -4.212557e+02  1.574193e+01 -7.812120e+01
   178  1.807492e+00 -6.804489e-01  1.522059e-03 -7.285364e-04  2.992337e-03 -1.658531e-03  7.829206e-04 -1.807262e-06  2.764522e+05  1.363471e+01  1.616226e+05 -4.205343e+02  1.528745e+01 -3.604127e+01
   179  1.874625e+00 -6.526876e-01  1.482822e-03 -7.097789e-04  8.387001e-04 -1.657003e-03  7.927868e-04 -2.974053e-03  2.693248e+05  9.356223e+00  4.533570e+04 -4.186667e+02  1.649232e+01 -2.173629e+02
   180  1.941125e+00 -6.247427e-01  1.443181e-03 -6.907985e-04  8.585531e-04 -1.652294e-03  7.902828e-04 -2.351364e-03  2.621258e+05  9.290988e+00  4.640053e+04 -4.168941e+02  1.594322e+01 -1.741988e+02
   181  2.007595e+00 -5.964571e-01  1.402944e-03 -6.715317e-04  8.555797e-04 -1.652052e-03  7.899879e-04 -2.003411e-03  2.548187e+05  9.287664e+00  4.623575e+04 -4.161664e+02  1.539028e+01 -1.499101e+02
   182  2.074138e+00 -5.681233e-01  1.362632e-03 -6.522294e-04  8.752411e-04 -1.652047e-03  7.898100e-04 -1.804628e-03  2.474981e+05  9.287599e+00  4.729532e+04 -4.154936e+02  1.483654e+01 -1.362906e+02
   183  2.140680e+00 -5.397844e-01  1.322312e-03 -6.329227e-04  8.717815e-04 -1.651970e-03  7.895968e-04 -1.697452e-03  2.401758e+05  9.286533e+00  4.710718e+04 -4.148033e+02  1.428275e+01 -1.287787e+02
   184  2.207217e+00 -5.114325e-01  1.281968e-03 -6.136048e-04  8.909325e-04 -1.651833e-03  7.893558e-04 -1.637324e-03  2.328493e+05  9.284656e+00  4.814084e+04 -4.140985e+02  1.372882e+01 -1.248176e+02
   185  2.273760e+00 -4.830751e-01  1.241616e-03 -5.942828e-04  8.869617e-04 -1.651932e-03  7.892301e-04 -1.611438e-03  2.255213e+05  9.286010e+00  4.792606e+04 -4.134493e+02  1.317481e+01 -1.229656e+02
   186  2.340372e+00 -4.547059e-01  1.201252e-03 -5.749555e-04  9.056288e-04 -1.652082e-03  7.891283e-04 -1.602199e-03  2.181912e+05  9.288078e+00  4.893420e+04 -4.128123e+02  1.262043e+01 -1.225457e+02
   187  2.407189e+00 -4.265255e-01  1.161244e-03 -5.557976e-04  9.010222e-04 -1.655795e-03  7.907491e-04 -1.598165e-03  2.109259e+05  9.339386e+00  4.868533e+04 -4.130256e+02  1.206752e+01 -1.222092e+02
   188  2.474172e+00 -3.987640e-01  1.121987e-03 -5.369994e-04  9.194413e-04 -1.658888e-03  7.920327e-04 -1.595336e-03  2.037968e+05  9.382612e+00  4.968016e+04 -4.131079e+02  1.151889e+01 -1.222331e+02
   189  2.541154e+00 -3.712451e-01  1.083151e-03 -5.184036e-04  9.144693e-04 -1.659134e-03  7.919073e-04 -1.606570e-03  1.967442e+05  9.386066e+00  4.941174e+04 -4.125249e+02  1.097306e+01 -1.229565e+02
   190  2.608303e+00 -3.437635e-01  1.044402e-03 -4.998493e-04  9.321974e-04 -1.660323e-03  7.922354e-04 -1.629451e-03  1.897074e+05  9.402824e+00  5.036955e+04 -4.121673e+02  1.042710e+01 -1.247641e+02
   191  2.675921e+00 -3.169007e-01  1.006792e-03 -4.818386e-04  9.263891e-04 -1.669838e-03  7.965776e-04 -1.632843e-03  1.828777e+05  9.539544e+00  5.005587e+04 -4.138036e+02  9.886680e+00 -1.249308e+02
   192  2.743736e+00 -2.909077e-01  9.707211e-04 -4.645659e-04  9.445963e-04 -1.672755e-03  7.976271e-04 -1.624295e-03  1.763272e+05  9.582495e+00  5.103918e+04 -4.139101e+02  9.355633e+00 -1.245535e+02
   193  2.811527e+00 -2.651780e-01  9.351042e-04 -4.475115e-04  9.380531e-04 -1.673079e-03  7.973911e-04 -1.635375e-03  1.698592e+05  9.587300e+00  5.068590e+04 -4.134122e+02  8.827704e+00 -1.252473e+02
   194  2.879752e+00 -2.397614e-01  9.000899e-04 -4.307444e-04  9.552964e-04 -1.678643e-03  7.996819e-04 -1.667073e-03  1.635007e+05  9.670834e+00  5.161763e+04 -4.141669e+02  8.301916e+00 -1.276637e+02
   195  2.948571e+00 -2.155833e-01  8.673085e-04 -4.150451e-04  9.483139e-04 -1.690338e-03  8.048674e-04 -1.663959e-03  1.575480e+05  9.854047e+00  5.124046e+04 -4.164188e+02  7.788399e+00 -1.273628e+02
   196  3.017394e+00 -1.924444e-01  8.363341e-04 -4.002137e-04  9.665047e-04 -1.690756e-03  8.044663e-04 -1.638153e-03  1.519230e+05  9.860817e+00  5.222267e+04 -4.160387e+02  7.286869e+00 -1.257824e+02
   197  3.086361e+00 -1.693349e-01  8.054299e-04 -3.854159e-04  9.582737e-04 -1.691195e-03  8.040687e-04 -1.633847e-03  1.463108e+05  9.867941e+00  5.177804e+04 -4.156653e+02  6.785187e+00 -1.253835e+02
   198  3.156154e+00 -1.474953e-01  7.768445e-04 -3.717248e-04  9.748166e-04 -1.706466e-03  8.108112e-04 -1.656820e-03  1.411201e+05  1.012962e+01  5.267184e+04 -4.188498e+02  6.295353e+00 -1.271833e+02
   199  3.226124e+00 -1.272949e-01  7.511325e-04 -3.594129e-04  9.685548e-04 -1.708372e-03  8.108993e-04 -1.682549e-03  1.364508e+05  1.016458e+01  5.233393e+04 -4.189303e+02  5.823836e+00 -1.289015e+02
   200  3.296066e+00 -1.073930e-01  7.259355e-04 -3.473478e-04  9.838484e-04 -1.709146e-03  8.104138e-04 -1.726305e-03  1.318750e+05  1.017895e+01  5.316050e+04 -4.187530e+02  5.355865e+00 -1.321349e+02
   201  3.366693e+00 -8.854430e-02  7.026613e-04 -3.362012e-04  9.762837e-04 -1.718877e-03  8.142147e-04 -1.737381e-03  1.276487e+05  1.037049e+01  5.275204e+04 -4.207354e+02  4.897719e+00 -1.328162e+02
   202  3.437630e+00 -7.143722e-02  6.824564e-04 -3.265254e-04  9.926928e-04 -1.723829e-03  8.155485e-04 -1.740422e-03  1.239796e+05  1.047811e+01  5.363837e+04 -4.216493e+02  4.458624e+00 -1.332250e+02
   203  3.508637e+00 -5.503065e-02  6.634786e-04 -3.174385e-04  9.849428e-04 -1.724137e-03  8.145606e-04 -1.788051e-03  1.205333e+05  1.048510e+01  5.322035e+04 -4.214892e+02  4.027377e+00 -1.364518e+02
   204  3.580298e+00 -3.989960e-02  6.468060e-04 -3.094530e-04  9.992599e-04 -1.732490e-03  8.173993e-04 -1.908733e-03  1.175058e+05  1.069485e+01  5.399509e+04 -4.232807e+02  3.608628e+00 -1.450354e+02
   205  3.652240e+00 -2.688833e-02  6.338562e-04 -3.032513e-04  9.930544e-04 -1.736358e-03  8.178894e-04 -2.069707e-03  1.151542e+05  1.081295e+01  5.366185e+04 -4.240864e+02  3.213392e+00 -1.561811e+02
   206  3.724274e+00 -1.474355e-02  6.224249e-04 -2.977780e-04  1.007491e-03 -1.736645e-03  8.165658e-04 -2.337674e-03  1.130783e+05  1.082263e+01  5.444483e+04 -4.240756e+02  2.827849e+00 -1.750321e+02
   207  3.797573e+00 -9.928435e-03  6.239051e-04 -2.984813e-04  9.914312e-04 -1.732867e-03  8.127111e-04 -2.245946e-03  1.133474e+05  1.165245e+01  5.357629e+04 -4.233653e+02  2.522618e+00 -1.684457e+02
   208  3.872448e+00 -1.293489e-02  6.391939e-04 -1.982623e-04  4.137380e-04 -1.730203e-03  6.941039e-04 -2.048215e-03  8.409871e+05  1.169085e+01  5.597223e+04  1.698302e+01  2.302314e+00 -2.227778e+01
   209  3.947482e+00 -1.150126e-02  6.467855e-04 -2.006169e-04  4.129532e-04 -1.743480e-03  6.935899e-04 -9.053362e-04  8.509775e+05  1.121211e+01  5.589232e+04  1.781305e+01  2.030210e+00 -4.539899e+00
   210  4.022171e+00 -6.883015e-03  6.487949e-04 -2.012385e-04  4.374457e-04 -1.742209e-03  6.869118e-04 -1.772425e-03  8.536232e+05  1.140664e+01  5.918857e+04  1.843158e+01  1.722516e+00 -1.744619e+01
   211  4.096939e+00 -4.313440e-03  6.543761e-04 -2.029684e-04  4.360789e-04 -1.741652e-03  6.809507e-04 -1.572492e-03  8.609712e+05  1.143504e+01  5.900812e+04  2.006161e+01  1.438203e+00 -1.437151e+01
   212  4.171753e+00 -3.660730e-03  6.632958e-04 -2.057336e-04  4.605012e-04 -1.736436e-03  6.736545e-04 -1.702512e-03  8.727156e+05  1.158848e+01  6.231187e+04  2.317977e+01  1.175862e+00 -1.582819e+01
   213  4.246592e+00 -5.320355e-03  6.762384e-04 -2.097468e-04  4.595085e-04 -1.733314e-03  6.676577e-04 -1.634514e-03  8.897556e+05  1.164534e+01  6.217902e+04  2.730564e+01  9.401342e-01 -1.479465e+01
   214  4.321372e+00 -9.116175e-03  6.928866e-04 -2.149093e-04  4.844231e-04 -1.724642e-03  6.600460e-04 -1.768371e-03  9.116757e+05  1.175519e+01  6.554933e+04  3.312213e+01  7.292666e-01 -1.629957e+01
   215  4.396070e+00 -1.555747e-02  7.141225e-04 -2.214949e-04  4.839443e-04 -1.715694e-03  6.529207e-04 -1.672412e-03  9.396357e+05  1.183107e+01  6.548671e+04  4.035971e+01  5.492201e-01 -1.481979e+01
