# per-element PLATE REACTION FORCES from the RM shell beam model (Timo), eta=0.20
# elem  y2(m) y3(m)  e11 e22 2e12 k11 k22 2k12  N11 N22 N12(N/m) M11 M22 M12(N)
    25  2.899437e+00  5.865133e-01 -5.336214e-04  2.552579e-04  1.617806e-03  1.635906e-03 -7.650380e-04 -1.563721e-03 -9.694968e+04 -1.203590e+01  8.739996e+04  3.989082e+02 -1.304227e+00 -1.284115e+02
    26  2.828809e+00  6.064731e-01 -5.778101e-04  2.764180e-04  1.563294e-03  1.636666e-03 -7.617831e-04 -1.572996e-03 -1.049744e+05 -1.203573e+01  8.445577e+04  4.001263e+02 -1.294111e+00 -1.284038e+02
    27  2.758152e+00  6.263925e-01 -6.219326e-04  2.975464e-04  1.610764e-03  1.636675e-03 -7.581623e-04 -1.564368e-03 -1.129870e+05 -1.203573e+01  8.701961e+04  4.011653e+02 -1.283428e+00 -1.283722e+02
    28  2.687509e+00  6.462917e-01 -6.660182e-04  3.186572e-04  1.555774e-03  1.636920e-03 -7.546590e-04 -1.574332e-03 -1.209929e+05 -1.203567e+01  8.404958e+04  4.022594e+02 -1.272561e+00 -1.284066e+02
    29  2.616859e+00  6.660679e-01 -7.098910e-04  3.396659e-04  1.602814e-03  1.638637e-03 -7.518836e-04 -1.569681e-03 -1.289603e+05 -1.203519e+01  8.659028e+04  4.036974e+02 -1.260250e+00 -1.286470e+02
    30  2.546151e+00  6.857407e-01 -7.535916e-04  3.605923e-04  1.547130e-03  1.638800e-03 -7.483536e-04 -1.596687e-03 -1.368963e+05 -1.203513e+01  8.358297e+04  4.047645e+02 -1.246546e+00 -1.298611e+02
    31  2.475433e+00  7.054025e-01 -7.972745e-04  3.815102e-04  1.593690e-03  1.638851e-03 -7.447693e-04 -1.617447e-03 -1.448291e+05 -1.203512e+01  8.609806e+04  4.058047e+02 -1.232681e+00 -1.318669e+02
    32  2.404728e+00  7.249673e-01 -8.407873e-04  4.023466e-04  1.537535e-03  1.640256e-03 -7.418541e-04 -1.685493e-03 -1.527310e+05 -1.203464e+01  8.306583e+04  4.071618e+02 -1.217741e+00 -1.359358e+02
    33  2.333976e+00  7.443815e-01 -8.840442e-04  4.230604e-04  1.583493e-03  1.641391e-03 -7.388157e-04 -1.780124e-03 -1.605865e+05 -1.203419e+01  8.554925e+04  4.084499e+02 -1.200903e+00 -1.430834e+02
    34  2.263167e+00  7.637347e-01 -9.272029e-04  4.437273e-04  1.526765e-03  1.641444e-03 -7.352505e-04 -1.976978e-03 -1.684241e+05 -1.203417e+01  8.248759e+04  4.094802e+02 -1.183168e+00 -1.561236e+02
