GP_Index	Coord_X	Coord_Y	Eps_xx	Eps_yy	Eps_zz	Eps_yz	Eps_xz	Eps_xy	Sig_xx	Sig_yy	Sig_zz	Sig_yz	Sig_xz	Sig_xy
27	1.641574e+01	2.329375e+01	2.339375e-01	-1.956322e-01	-1.549640e-02	2.599579e-02	-2.831347e-03	4.286969e-03	2.773293e+03	-6.632645e+02	-1.574943e+01	9.240093e+01	-2.290761e+01	-8.443483e+02
28	1.645740e+01	2.306875e+01	2.316875e-01	-1.800394e-01	-1.741623e-02	1.703818e-02	1.747679e-03	-1.895085e-03	3.275433e+03	-1.838249e+01	1.351934e+01	5.875980e+01	-2.402215e+00	-1.354743e+03
29	1.658239e+01	2.323750e+01	2.333750e-01	-1.800394e-01	-1.741623e-02	1.703818e-02	1.747679e-03	-1.895085e-03	3.335671e+03	2.835552e+01	1.900548e+01	5.875980e+01	-2.402215e+00	-1.397552e+03
30	1.658239e+01	2.306875e+01	2.316875e-01	-1.800394e-01	-1.741623e-02	1.703818e-02	1.747679e-03	-1.895085e-03	3.275433e+03	-1.838249e+01	1.351934e+01	5.875980e+01	-2.402215e+00	-1.354743e+03
31	1.629074e+01	2.329375e+01	2.339375e-01	-2.015044e-01	-1.428155e-02	2.357868e-02	-4.670789e-03	-1.215681e-05	2.723665e+03	-7.598702e+02	-2.191236e+01	8.486078e+01	-2.813710e+01	-8.161668e+02
32	1.616575e+01	2.312500e+01	2.322500e-01	-2.015044e-01	-1.428155e-02	2.357868e-02	-4.670789e-03	-1.215681e-05	2.663427e+03	-8.066082e+02	-2.739850e+01	8.486078e+01	-2.813710e+01	-7.733572e+02
33	1.616575e+01	2.329375e+01	2.339375e-01	-2.015044e-01	-1.428155e-02	2.357868e-02	-4.670789e-03	-1.215681e-05	2.723665e+03	-7.598702e+02	-2.191236e+01	8.486078e+01	-2.813710e+01	-8.161668e+02
34	1.620741e+01	2.306875e+01	2.316875e-01	-1.815784e-01	-1.549640e-02	1.045960e-02	-2.831347e-03	-2.495534e-03	3.254281e+03	-5.184632e+01	2.592905e+01	3.802427e+01	-1.513951e+01	-1.333423e+03
35	1.633241e+01	2.323750e+01	2.333750e-01	-1.815784e-01	-1.549640e-02	1.045960e-02	-2.831347e-03	-2.495534e-03	3.314519e+03	-5.108307e+00	3.141519e+01	3.802427e+01	-1.513951e+01	-1.376232e+03
36	1.633241e+01	2.306875e+01	2.316875e-01	-1.815784e-01	-1.549640e-02	1.045960e-02	-2.831347e-03	-2.495534e-03	3.254281e+03	-5.184632e+01	2.592905e+01	3.802427e+01	-1.513951e+01	-1.333423e+03
37	1.604076e+01	2.329375e+01	2.339375e-01	-2.053839e-01	-1.351370e-02	2.116573e-02	-5.124402e-03	-2.267915e-03	2.675939e+03	-8.386318e+02	-2.657839e+01	7.664227e+01	-2.851828e+01	-7.811918e+02
38	1.591576e+01	2.312500e+01	2.322500e-01	-2.053839e-01	-1.351370e-02	2.116573e-02	-5.124402e-03	-2.267915e-03	2.615701e+03	-8.853698e+02	-3.206453e+01	7.664227e+01	-2.851828e+01	-7.383823e+02
39	1.591576e+01	2.329375e+01	2.339375e-01	-2.053839e-01	-1.351370e-02	2.116573e-02	-5.124402e-03	-2.267915e-03	2.675939e+03	-8.386318e+02	-2.657839e+01	7.664227e+01	-2.851828e+01	-7.811918e+02
40	1.595743e+01	2.306875e+01	2.316875e-01	-1.827910e-01	-1.428155e-02	5.467920e-03	-4.670789e-03	-2.880330e-03	3.234408e+03	-8.141966e+01	3.300818e+01	2.147311e+01	-1.908172e+01	-1.314012e+03
